"SA1_MAINCODE_2016","SA1_7DIGCODE"
20603111317,2111317
20603111318,2111318
20603111319,2111319
20603111321,2111321
20603111324,2111324
20603111325,2111325
20603111331,2111331
20603111332,2111332
20603111501,2111501
20603111502,2111502
20603111503,2111503
20603111504,2111504
20603111505,2111505
20603111506,2111506
20603111507,2111507
20603111508,2111508
20603111509,2111509
20603111510,2111510
20603111511,2111511
20603111512,2111512
20603111513,2111513
20603111514,2111514
20603111515,2111515
20603111516,2111516
20603111518,2111518
20603111519,2111519
20603111520,2111520
20603111521,2111521
20603111522,2111522
20603111523,2111523
20603111524,2111524
20604111701,2111701
20604111702,2111702
20604111703,2111703
20604111704,2111704
20604111705,2111705
20604111706,2111706
20604111707,2111707
20604111708,2111708
20604111709,2111709
20604111710,2111710
20604111711,2111711
20604111712,2111712
20604111713,2111713
20604111714,2111714
20604111715,2111715
20604111716,2111716
20604111717,2111717
20604111718,2111718
20604111719,2111719
20604111720,2111720
20604111721,2111721
20604111722,2111722
20604111723,2111723
20604111724,2111724
20604111725,2111725
20604111726,2111726
20604111727,2111727
20604111728,2111728
20604111729,2111729
20604111731,2111731
20604111733,2111733
20604111734,2111734
20604111735,2111735
20604111736,2111736
20604111801,2111801
20604111802,2111802
20604111804,2111804
20604111805,2111805
20604111806,2111806
20604111807,2111807
20604111808,2111808
20604111809,2111809
20604111810,2111810
20604111811,2111811
20604111812,2111812
20604111813,2111813
20604111814,2111814
20604111815,2111815
20604111816,2111816
20604111901,2111901
20604111902,2111902
20604111903,2111903
20604111904,2111904
20604111905,2111905
20604111906,2111906
20604111907,2111907
20604111908,2111908
20604111909,2111909
20604111910,2111910
20604111911,2111911
20604111912,2111912
20604111913,2111913
20604111914,2111914
20604111915,2111915
20604112001,2112001
20604112101,2112101
20604112102,2112102
20604112103,2112103
20604112104,2112104
20604112105,2112105
20604112106,2112106
20604112108,2112108
20604112109,2112109
20604112110,2112110
20604112111,2112111
20604112112,2112112
20604112113,2112113
20604112114,2112114
20604112115,2112115
20604112116,2112116
20604112118,2112118
20604112119,2112119
20604112121,2112121
20604112122,2112122
20604112123,2112123
20604112124,2112124
20604112125,2112125
20604112126,2112126
20604112127,2112127
20604112128,2112128
20604112129,2112129
20604112202,2112202
20604112203,2112203
20604112204,2112204
20604112205,2112205
20604112206,2112206
20604112209,2112209
20604112210,2112210
20604112211,2112211
20604112212,2112212
20604112213,2112213
20604112214,2112214
20604112215,2112215
20604112216,2112216
20604112217,2112217
20604112218,2112218
20604112219,2112219
20604112221,2112221
20604112222,2112222
20604112223,2112223
20604112224,2112224
20604112225,2112225
20604112229,2112229
20604112230,2112230
20604112231,2112231
20604112232,2112232
20604112233,2112233
20604112234,2112234
20604112235,2112235
20604112236,2112236
20604112237,2112237
20604112238,2112238
20604112239,2112239
20604112240,2112240
20604112241,2112241
20604112242,2112242
20604112243,2112243
20604112244,2112244
20604112245,2112245
20604112246,2112246
20604112247,2112247
20604112248,2112248
20604112249,2112249
20604112302,2112302
20604112303,2112303
20604112304,2112304
20604112305,2112305
20604112306,2112306
20604112307,2112307
20604112308,2112308
20604112309,2112309
20604112310,2112310
20604112311,2112311
20604112312,2112312
20604112313,2112313
20604112314,2112314
20604112315,2112315
20604112316,2112316
20604112317,2112317
20604112318,2112318
