sa2,LFSP Labour Force Status,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Not stated,Not applicable
201011001,15-19 years,73,351,20,17,59,366,29,0
,20-24 years,265,249,23,35,14,103,33,0
,25-29 years,401,144,42,23,8,75,29,0
,30-34 years,377,173,49,27,7,108,28,0
,35-39 years,393,221,35,11,6,89,30,0
,40-44 years,449,207,24,8,11,87,29,0
,45-49 years,482,196,19,19,6,61,31,0
,50-54 years,429,188,26,18,3,84,38,0
,55-59 years,294,126,27,14,5,146,42,0
,60-64 years,168,115,27,5,0,228,27,0
,65-69 years,45,63,5,0,0,357,20,0
,70-74 years,4,26,4,0,0,310,27,0
,75-79 years,3,9,0,0,0,235,13,0
,80-84 years,0,0,0,0,0,125,12,0
,85-89 years,0,0,0,0,0,75,4,0
,90-94 years,0,0,0,0,0,35,0,0
,95-99 years,0,0,0,0,0,6,0,0
,100 years and over,0,0,0,0,0,0,0,0
201011002,15-19 years,40,236,25,8,54,471,55,0
,20-24 years,217,250,34,38,48,143,58,0
,25-29 years,363,169,22,30,21,106,45,0
,30-34 years,271,146,36,23,14,97,39,0
,35-39 years,286,165,21,13,9,86,44,0
,40-44 years,375,211,20,18,5,94,41,0
,45-49 years,408,231,21,16,10,88,56,0
,50-54 years,439,176,29,25,4,104,51,0
,55-59 years,413,179,25,18,6,143,46,0
,60-64 years,200,160,23,11,7,276,42,0
,65-69 years,75,78,19,0,3,454,59,0
,70-74 years,20,49,12,0,4,444,38,0
,75-79 years,11,31,4,0,0,384,31,0
,80-84 years,0,5,0,0,0,281,41,0
,85-89 years,4,0,0,0,0,211,22,0
,90-94 years,0,0,0,0,0,98,10,0
,95-99 years,0,0,0,0,0,31,9,0
,100 years and over,0,0,0,0,0,0,0,0
201011003,15-19 years,117,448,22,44,87,570,70,0
,20-24 years,504,484,61,79,63,262,102,0
,25-29 years,776,310,52,50,28,206,85,0
,30-34 years,740,300,76,38,26,224,89,0
,35-39 years,659,336,67,32,28,220,84,0
,40-44 years,647,347,42,35,25,225,62,0
,45-49 years,745,355,42,31,18,242,60,0
,50-54 years,754,380,44,40,18,261,85,0
,55-59 years,643,364,53,20,16,321,62,0
,60-64 years,373,304,58,22,22,564,69,0
,65-69 years,98,175,24,5,0,928,87,0
,70-74 years,30,50,10,4,0,760,77,0
,75-79 years,12,18,8,0,0,617,63,0
,80-84 years,0,0,0,0,0,516,54,0
,85-89 years,0,0,0,0,0,340,41,0
,90-94 years,0,0,0,0,0,156,20,0
,95-99 years,0,0,0,0,0,36,4,0
,100 years and over,0,0,0,0,0,4,0,0
201011004,15-19 years,90,415,43,66,82,603,81,0
,20-24 years,620,698,106,123,99,525,176,0
,25-29 years,870,384,77,92,40,334,134,0
,30-34 years,724,372,81,51,27,301,121,0
,35-39 years,629,362,54,47,22,270,85,0
