sa2_home,sa2_work,count
201011001,202011018,6
,202011019,0
,202011020,0
,202011021,0
,202011022,3
,202011023,0
,202011024,0
,202011025,0
,202021026,0
,202021027,8
,202021028,0
,202021029,0
,202021030,0
,202021031,0
,202031032,0
,202031033,0
201011002,202011018,6
,202011019,0
,202011020,0
,202011021,0
,202011022,0
,202011023,0
,202011024,0
,202011025,0
,202021026,0
,202021027,10
,202021028,3
,202021029,0
,202021030,0
,202021031,0
,202031032,0
,202031033,0
201011003,202011018,9
,202011019,0
,202011020,0
,202011021,0
,202011022,3
,202011023,0
,202011024,0
,202011025,0
,202021026,0
,202021027,11
,202021028,0
,202021029,0
,202021030,4
,202021031,0
,202031032,0
,202031033,0
201011004,202011018,7
,202011019,0
,202011020,0
,202011021,0
,202011022,3
,202011023,0
,202011024,0
,202011025,3
,202021026,0
,202021027,14
,202021028,0
,202021029,0
,202021030,4
,202021031,0
,202031032,0
,202031033,0
201011005,202011018,0
,202011019,0
,202011020,0
,202011021,0
,202011022,0
,202011023,0
,202011024,0
,202011025,0
,202021026,0
,202021027,0
,202021028,0
,202021029,0
,202021030,0
,202021031,0
,202031032,0
,202031033,0
201011006,202011018,0
,202011019,0
,202011020,0
,202011021,0
,202011022,0
,202011023,0
,202011024,0
,202011025,0
,202021026,0
,202021027,5
,202021028,0
,202021029,0
,202021030,0
,202021031,0
,202031032,0
,202031033,0
201011007,202011018,0
,202011019,0
,202011020,0
,202011021,0
,202011022,0
,202011023,0
,202011024,0
,202011025,0
,202021026,0
,202021027,0
,202021028,0
,202021029,0
,202021030,0
,202021031,0
,202031032,0
,202031033,0
201011008,202011018,0
,202011019,0
,202011020,0
,202011021,0
,202011022,3
,202011023,0
,202011024,0
,202011025,0
,202021026,0
,202021027,12
,202021028,0
,202021029,0
,202021030,0
,202021031,0
,202031032,0
,202031033,0
201021009,202011018,0
,202011019,0
,202011020,0
,202011021,0
,202011022,0
,202011023,0
,202011024,0
,202011025,0
,202021026,0
,202021027,6
,202021028,0
,202021029,0
,202021030,4
,202021031,0
,202031032,0
,202031033,0
201021010,202011018,8
,202011019,0
,202011020,0
,202011021,0
,202011022,4
,202011023,0
,202011024,0
,202011025,0
,202021026,0
,202021027,13
,202021028,7
,202021029,0
,202021030,9
,202021031,0
,202031032,0
,202031033,0
201021011,202011018,41
,202011019,0
,202011020,5
,202011021,0
,202011022,12
,202011023,0
,202011024,0
,202011025,0
,202021026,0
,202021027,85
,202021028,17
,202021029,0
,202021030,190
,202021031,31
,202031032,0
,202031033,0
201021012,202011018,0
,202011019,0
,202011020,0
,202011021,0
,202011022,0
,202011023,0
,202011024,0
,202011025,0
,202021026,0
,202021027,0
,202021028,8
,202021029,0
,202021030,0
,202021031,0
,202031032,0
,202031033,0
201031013,202011018,4
,202011019,0
,202011020,0
,202011021,0
,202011022,0
,202011023,0
,202011024,0
,202011025,0
,202021026,0
,202021027,7
,202021028,0
,202021029,0
,202021030,4
,202021031,3
,202031032,0
,202031033,0
201031014,202011018,0
,202011019,0
,202011020,0
,202011021,0
,202011022,0
,202011023,0
,202011024,0
,202011025,0
,202021026,0
,202021027,0
,202021028,0
,202021029,0
,202021030,0
,202021031,0
,202031032,0
,202031033,0
201031015,202011018,0
,202011019,0
,202011020,0
,202011021,0
,202011022,0
,202011023,0
,202011024,0
,202011025,0
,202021026,0
,202021027,0
,202021028,0
,202021029,0
,202021030,0
,202021031,0
,202031032,0
,202031033,0
201031016,202011018,20
,202011019,0
,202011020,4
,202011021,4
,202011022,11
,202011023,0
,202011024,0
,202011025,9
,202021026,7
,202021027,87
,202021028,9
,202021029,0
,202021030,5
,202021031,5
,202031032,0
,202031033,6
201031017,202011018,27
,202011019,0
,202011020,11
,202011021,3
,202011022,14
,202011023,0
,202011024,0
,202011025,0
,202021026,3
,202021027,56
,202021028,19
,202021029,0
,202021030,6
,202021031,0
,202031032,3
,202031033,13
202011018,202011018,3137
,202011019,214
,202011020,546
,202011021,137
,202011022,619
,202011023,39
,202011024,75
,202011025,268
,202021026,111
,202021027,182
,202021028,9
,202021029,21
,202021030,20
,202021031,3
,202031032,63
,202031033,69
202011019,202011018,1617
,202011019,684
,202011020,450
,202011021,80
,202011022,555
,202011023,31
,202011024,59
,202011025,321
